      134862         247
   3.20000001600122        4.96894411538010        7.71575172311128     
   7.71575172311128        7.71575172311128        7.66812362615381     
   7.66812362615381        7.71575172311128        7.71575172311129     
   7.71575172311128        7.71575172311127        7.71575172311130     
   7.71575172311130        7.71575172311128        7.66812362615381     
   7.66812362615381        7.71575172311128        7.71575172311128     
   7.71575172311128        2.48447206569066       0.800000016001217     
  0.747663567403085       0.900799475521542        2621816.00368265     
   7013409.71923629        9683166.86287076        4507192.46317616     
   16276.8256025624        7523.09786980874        8051.43754676405     
   9222.31649339538        10560.5197178758        12080.4449431133     
   13820.0289723306        14787.4309796897        13871.8864908167     
   12211.1677209874        10757.9378786476        9458.99185470891     
   8317.86351256963        7330.61371739708        6449.44023704818     
   5675.19774709895        5003.38745128224        4401.07896582472     
   3868.93664893022        3408.26329711221        3000.81824372327     
   2641.99807959467        2325.44534973562        2045.65477047620     
   1799.62335392383        1584.94750688531        1395.43270055934     
   1308.27005778554        1395.43270055934        1584.94750688531     
   1799.62335392383        2045.65477047621        2325.44534973563     
   2641.99807959466        3000.81824372326        3408.26329711222     
   3868.93664893022        4401.07896582471        5003.38745128224     
   5675.19774709895        6449.44023704818        7330.61371739708     
   8317.86351256967        9458.99185470897        10757.9378786475     
   12211.1677209873        13871.8864908167        14787.4309796897     
   13924.1346497434        12322.2430868972        10887.0400995779     
   9641.34432265330        8546.38342284524        7562.54181459664     
   6693.73808919632        6300.50284023535        6693.73808919643     
   7562.54181459675        8546.38342284509        9641.34432265331     
   10887.0400995779        12322.2430868972        13924.1346497437     
   14787.4309796897        13591.3887920199        11459.8556888982     
   9650.40483735183        8151.98020055364        6874.90763061384     
   5793.73973041654        4893.05917883438        4125.42342288819     
   3480.70613418524        2936.75295875416        2476.08587436469     
   2274.11497226763        2476.08587436466        2936.75295875416     
   3480.70613418524        4125.42342288819        4893.05917883438     
   5793.73973041654        6874.90763061384        8151.98020055364     
   9650.40483735182        11459.8556888982        13591.3887920199     
   14787.4309796897        13924.1346497437        12322.2430868972     
   10905.1851659175        9657.41322936488        8546.38342284524     
   7562.54181459664        6693.73808919632        5928.97443466504     
   5250.39820373957        4650.51596180623        4117.39645863746     
   3641.85503462980        3225.83173717177        2857.32243355055     
   2527.36703031058        2237.43514831059        1981.59210054150     
   1753.91421782907        1553.15174373188        1374.96642090255     
   1217.25872503558        1077.68825592095        953.932073212767     
   844.696491836741        747.770183125896        662.126587652993     
   586.170037367581        518.862755992408        459.260093895190     
   406.655046233615        360.116900404119        318.781955469025     
   282.137439924972        249.832203242537        221.203778258265     
   195.775252927710        173.359842917131        153.488590477468     
   135.850850401504        120.280926817442        106.498358623788     
   94.2748356104918        83.4609509211461        73.9026397086528     
   65.4253256750422        57.9114154784744        51.2754217544373     
   45.3950950751361        40.1844258589063        35.5801536257775     
   31.4994124751069        27.8851077614711        24.6887987533003     
   21.8568389094293        19.3490881704000        17.1310808008026     
   15.1664045355921        13.4269034601840        11.8871379339897     
   10.5238607249554        9.31705338826241        8.24818318422263     
   7.30235715736868        6.46501778532557        5.72357701387623     
   5.06712711660098        4.48605512516233        3.97164888143818     
   3.51617106801175        3.11291761773419        2.75590582700939     
   2.43990778366908        2.16014547203581        1.91242743552225     
   1.69310204005155        1.49896590452408        1.32711332844382     
   1.17494282861059        1.04021587340792       0.920953066199826     
  0.815361909050586       0.721881698649892       0.639127135858215     
  0.565861841544979       0.501000799249729       0.443578155813773     
  0.392737065587371       0.347729316743496       0.307883326895436     
